date,mse
1555459200.0,3.7321034701085874e-05
1555460100.0,2.2182614223939565e-05
1555461000.0,2.4499238077126227e-05
1555461900.0,1.6863119096890093e-05
1555462800.0,4.031896916617869e-05
1555463700.0,1.0970885867223527e-05
1555464600.0,3.0379155533268825e-05
1555465500.0,5.0612299963427154e-05
1555466400.0,1.6052273410793207e-05
1555467300.0,3.1476812959766035e-05
1555468200.0,2.643514323171665e-05
1555469100.0,6.473879777420948e-05
1555470000.0,3.223427052917345e-05
1555470900.0,4.674162960323338e-05
1555471800.0,2.9911959761532627e-05
1555472700.0,3.9711485187601426e-05
1555473600.0,3.842965519240495e-05
1555474500.0,4.3470015301907794e-05
1555475400.0,3.476189428023523e-05
1555476300.0,6.103714504556126e-05
1555477200.0,3.997762597819006e-05
1555478100.0,3.246011690864941e-05
1555479000.0,4.466732418136853e-05
1555479900.0,3.966182185004693e-05
1555480800.0,4.773887189000761e-05
1555481700.0,2.9880359717533506e-05
1555482600.0,4.7393581743182636e-05
1555483500.0,3.3943470707227106e-05
1555484400.0,3.5245983269254306e-05
1555485300.0,3.0184178576431933e-05
1555486200.0,4.917680284902186e-05
1555487100.0,3.711909255628755e-05
1555488000.0,3.7927739543017406e-05
1555488900.0,3.878168836883863e-05
1555489800.0,3.587683469640881e-05
1555490700.0,2.9029691373455078e-05
1555491600.0,5.648232603942404e-05
1555492500.0,3.875103321118073e-05
1555493400.0,5.553310798858245e-05
1555494300.0,4.815487840019946e-05
1555495200.0,3.9995305515069324e-05
1555496100.0,4.027308403581604e-05
1555497000.0,5.4613781707082325e-05
1555497900.0,3.446917212562505e-05
1555498800.0,3.7943352677968514e-05
1555499700.0,5.4549146713060594e-05
1555500600.0,3.836381460914898e-05
1555501500.0,3.9162742968727314e-05
1555502400.0,3.6414809384285804e-05
1555503300.0,3.0402060956953303e-05
1555504200.0,3.7819877030690454e-05
1555505100.0,2.5588333302439406e-05
1555506000.0,3.4828334881715456e-05
1555506900.0,2.525553529013628e-05
1555507800.0,4.3741167698804875e-05
1555508700.0,2.8325043812404063e-05
1555509600.0,4.481872753944878e-05
1555510500.0,3.6681859975182154e-05
1555511400.0,2.745771532254357e-05
1555512300.0,3.524193192633521e-05
1555513200.0,3.2810269162697724e-05
1555514100.0,3.338515169201361e-05
1555515000.0,4.1484550127191723e-05
1555515900.0,3.128498531864349e-05
1555516800.0,2.3067516383269906e-05
1555517700.0,2.9488920651215592e-05
1555518600.0,2.3968779802489185e-05
1555519500.0,3.701996502373867e-05
1555520400.0,3.2598311021412796e-05
1555521300.0,2.9123955856627443e-05
1555522200.0,2.487027184177837e-05
1555523100.0,3.0315496064644562e-05
1555524000.0,3.368634850673681e-05
1555524900.0,2.7550152962910827e-05
1555525800.0,1.672715289532615e-05
1555526700.0,3.450072919819822e-05
1555527600.0,2.0790194042338965e-05
1555528500.0,2.6862204110935942e-05
1555529400.0,3.332703187515626e-05
1555530300.0,3.0014104946344086e-05
1555531200.0,3.2981239925603034e-05
1555532100.0,3.539598068217788e-05
1555533000.0,2.3772670246468852e-05
1555533900.0,3.431266598064428e-05
1555534800.0,3.76764009758618e-05
1555535700.0,2.888270540949475e-05
1555536600.0,2.400404549355467e-05
1555537500.0,3.804089378610506e-05
1555546500.0,2.6277589888919225e-05
1555547400.0,2.3800407284764836e-05
1555548300.0,5.047642487113182e-05
1555549200.0,2.4515177161222817e-05
1555550100.0,1.2137039555595306e-05
1555551000.0,1.726325480688753e-05
1555551900.0,3.177537008718496e-05
1555552800.0,5.678884490174407e-05
1555553700.0,3.194718328684764e-05
1555554600.0,2.5565239546385088e-05
1555555500.0,3.0903644881855224e-05
1555556400.0,4.9610571663728475e-05
1555557300.0,2.5680806172358096e-05
1555558200.0,3.521074094735117e-05
1555559100.0,4.881318018801412e-05
1555560000.0,5.0007485035862824e-05
1555560900.0,4.528644380028453e-05
1555561800.0,5.0341175018138624e-05
1555562700.0,3.96153871918648e-05
1555563600.0,4.4177093821735605e-05
1555564500.0,4.732327517064849e-05
1555565400.0,4.138516167331037e-05
1555566300.0,4.2847326143318784e-05
1555567200.0,4.154716652185341e-05
1555568100.0,4.731056896483915e-05
1555569000.0,3.376656250285835e-05
1555569900.0,3.422372606230728e-05
1555570800.0,2.7115165253627585e-05
1555571700.0,5.055585951188349e-05
1555572600.0,3.775884326696708e-05
1555573500.0,5.819031693563006e-05
1555574400.0,4.549219370683021e-05
1555575300.0,6.065107023933034e-05
1555576200.0,6.156073087002554e-05
1555577100.0,2.631495023944613e-05
1555578000.0,5.0250203919156654e-05
1555578900.0,4.4595161096456774e-05
1555579800.0,2.9231779062374862e-05
