date,mse
1557446400.0,4.437356589481004e-06
1557447300.0,1.278741228843141e-05
1557448200.0,1.0436304139079205e-05
1557449100.0,5.595633460648036e-06
1557450000.0,4.934863884364684e-06
1557450900.0,1.1118074069621048e-05
1557451800.0,9.672261464452106e-06
1557452700.0,5.772436482043332e-06
1557453600.0,8.357300517827835e-06
1557454500.0,1.053909578390205e-05
1557455400.0,1.1853608041036957e-05
1557456300.0,9.228693391838988e-06
1557458100.0,1.655052201376735e-05
1557459000.0,2.7499263061746986e-05
1557459900.0,1.227718636341252e-05
1557460800.0,2.3049685424250414e-05
1557461700.0,1.7319514077517078e-05
1557462600.0,2.3677433615660448e-05
1557463500.0,2.0564360452480165e-05
1557464400.0,1.6873298140002214e-05
1557465300.0,2.126864448636198e-05
1557466200.0,1.283185798892521e-05
1557467100.0,1.359371693163969e-05
1557468000.0,1.720834632691959e-05
1557468900.0,1.4512672275396248e-05
1557469800.0,2.6431522369687655e-05
1557470700.0,1.4173323172275387e-05
1557471600.0,2.1376358490585456e-05
1557472500.0,1.8998616487605004e-05
1557473400.0,2.510590134780716e-05
1557474300.0,3.1347613817609686e-05
1557475200.0,1.4743942156171257e-05
1557476100.0,2.746026609783659e-05
1557477000.0,1.5339898415778035e-05
1557477900.0,1.4496786285529765e-05
1557478800.0,3.394989678205327e-05
1557479700.0,2.2308106249978227e-05
1557480600.0,1.7863323114077498e-05
1557481500.0,1.6427985061211515e-05
1557482400.0,1.8915082549634376e-05
1557483300.0,1.987561312460321e-05
1557484200.0,2.1432061483818143e-05
1557485100.0,1.4386378107023085e-05
1557486000.0,1.2072090235668949e-05
1557486900.0,1.0369002471597442e-05
1557487800.0,1.3195524433111554e-05
1557488700.0,1.480606226898387e-05
1557489600.0,1.9347549476708538e-05
1557490500.0,1.2342418289934758e-05
1557491400.0,1.6174151542383807e-05
1557492300.0,1.5419839230852488e-05
1557493200.0,1.8241470682175893e-05
1557494100.0,1.4661921863498243e-05
1557495000.0,1.964059455218216e-05
1557495900.0,2.3083530319620794e-05
1557496800.0,4.089412104255422e-05
1557497700.0,1.428448926827962e-05
1557498600.0,1.1038868564205442e-05
1557499500.0,1.1800816321081668e-05
1557500400.0,1.1858557760009888e-05
1557501300.0,1.4225525585790935e-05
1557502200.0,1.472735439405192e-05
1557503100.0,1.7122026212091796e-05
1557504000.0,1.5075497256657607e-05
1557504900.0,9.026333368769716e-06
1557505800.0,9.245026245126397e-06
1557506700.0,1.3801259685418899e-05
1557507600.0,1.7401649986796403e-05
1557508500.0,1.1417721960992469e-05
1557509400.0,1.1762480845558453e-05
1557510300.0,1.1055695003124667e-05
1557511200.0,1.5085015919245176e-05
1557512100.0,1.5300960805886718e-05
1557513000.0,1.1112680085932114e-05
1557513900.0,1.0188516076010378e-05
1557514800.0,1.018916548437028e-05
1557515700.0,1.7458028410679575e-05
1557516600.0,1.5624081536158055e-05
1557517500.0,7.503211262484498e-06
1557518400.0,7.330490597195207e-06
1557519300.0,3.3761502141510412e-06
1557520200.0,4.046139039528182e-06
1557521100.0,1.0155876343775296e-05
1557522000.0,1.0947335532288687e-05
1557522900.0,7.281720848081063e-06
1557523800.0,8.825897894651784e-06
1557524700.0,8.371510210448273e-06
1557532800.0,8.890318935438453e-06
1557533700.0,1.0939898799569163e-05
1557534600.0,1.1230864690741773e-05
1557535500.0,6.069961241685617e-06
1557536400.0,6.1954480295529665e-06
1557537300.0,8.853705637983244e-06
1557538200.0,7.162600342898002e-06
1557539100.0,1.1496403712799325e-05
1557540000.0,9.023155009036985e-06
1557540900.0,1.030953250530798e-05
1557541800.0,7.42814334807769e-06
1557542700.0,8.809646750857806e-06
1557543600.0,8.536282897426311e-06
1557544500.0,1.1062207327432308e-05
1557545400.0,1.605821682163337e-05
1557546300.0,2.137693554506839e-05
1557547200.0,1.565606103768593e-05
1557548100.0,1.6577671515025586e-05
1557549000.0,1.618844235946141e-05
1557549900.0,1.7147171369556834e-05
1557550800.0,1.6275938586138195e-05
1557551700.0,9.89939091407655e-06
1557552600.0,1.475084782610126e-05
1557553500.0,1.698427130962702e-05
1557554400.0,1.5206231633614006e-05
1557555300.0,1.8882965739912424e-05
1557556200.0,1.1546742260420526e-05
1557557100.0,2.554016127148189e-05
1557558000.0,2.405973753306908e-05
1557558900.0,2.3135448064542528e-05
1557559800.0,1.6432343759095104e-05
1557560700.0,2.0044067808310744e-05
1557561600.0,1.6009826949558796e-05
1557562500.0,1.5278012944770142e-05
1557563400.0,1.4673997649832992e-05
